timestamp,open,high,low,close,volume
2024-01-01 20:00:00+00:00,1.10427,1.10447,1.10356,1.10365,3923.96
2024-01-02 00:00:00+00:00,1.10366,1.10432,1.10176,1.10245,24509.62
2024-01-02 04:00:00+00:00,1.10245,1.1038,1.10151,1.10153,30174.74
2024-01-02 08:00:00+00:00,1.10156,1.10387,1.09665,1.0969,70041.65
2024-01-02 12:00:00+00:00,1.09691,1.09717,1.0941,1.09435,86422.11
2024-01-02 16:00:00+00:00,1.09436,1.09616,1.09408,1.09465,44511.0
2024-01-02 20:00:00+00:00,1.09465,1.09511,1.09375,1.09416,21566.2
2024-01-03 00:00:00+00:00,1.09416,1.09622,1.09412,1.09608,17838.9
2024-01-03 04:00:00+00:00,1.09607,1.09627,1.09511,1.09603,25321.98
2024-01-03 08:00:00+00:00,1.09602,1.09654,1.09154,1.09195,60202.29
2024-01-03 12:00:00+00:00,1.09195,1.09385,1.0898,1.09044,122224.77
2024-01-03 16:00:00+00:00,1.09045,1.09257,1.08929,1.09176,78473.57
2024-01-03 20:00:00+00:00,1.09177,1.09275,1.0915,1.09258,23305.94
2024-01-04 00:00:00+00:00,1.09259,1.09306,1.0916,1.09261,19690.41
2024-01-04 04:00:00+00:00,1.09261,1.09436,1.09208,1.09375,34647.37
2024-01-04 08:00:00+00:00,1.09375,1.09721,1.09345,1.09479,65475.57
2024-01-04 12:00:00+00:00,1.09477,1.09652,1.09327,1.0955,94080.12
2024-01-04 16:00:00+00:00,1.09551,1.09639,1.09418,1.0947,48131.76
2024-01-04 20:00:00+00:00,1.09469,1.095,1.0943,1.09462,19461.42
2024-01-05 00:00:00+00:00,1.09461,1.09558,1.09391,1.09392,24102.52
2024-01-05 04:00:00+00:00,1.09392,1.09411,1.09226,1.09231,29235.37
2024-01-05 08:00:00+00:00,1.09231,1.09305,1.09028,1.09142,53689.02
2024-01-05 12:00:00+00:00,1.09142,1.09984,1.08767,1.09781,167761.0
2024-01-05 16:00:00+00:00,1.09782,1.09805,1.09352,1.09452,67854.04
2024-01-05 20:00:00+00:00,1.09452,1.09471,1.09357,1.09392,14300.5
2024-01-07 20:00:00+00:00,1.09386,1.09456,1.09349,1.09415,4674.37
2024-01-08 00:00:00+00:00,1.09413,1.0953,1.09313,1.09329,16574.85
2024-01-08 04:00:00+00:00,1.09329,1.09522,1.09306,1.09451,26067.1
2024-01-08 08:00:00+00:00,1.09454,1.09506,1.09226,1.09379,64036.97
2024-01-08 12:00:00+00:00,1.09378,1.09745,1.09372,1.09697,80994.12
2024-01-08 16:00:00+00:00,1.09696,1.09788,1.09488,1.09609,47300.07
2024-01-08 20:00:00+00:00,1.0961,1.0961,1.09493,1.09497,17702.09
2024-01-09 00:00:00+00:00,1.09497,1.09663,1.09492,1.09627,21187.32
2024-01-09 04:00:00+00:00,1.09628,1.09629,1.09461,1.09566,25964.24
2024-01-09 08:00:00+00:00,1.09566,1.09566,1.09287,1.09314,51283.71
2024-01-09 12:00:00+00:00,1.09313,1.09513,1.09175,1.09178,94401.42
2024-01-09 16:00:00+00:00,1.09178,1.094,1.09103,1.09252,59589.64
2024-01-09 20:00:00+00:00,1.09252,1.09326,1.0925,1.09317,23410.68
2024-01-10 00:00:00+00:00,1.09316,1.09363,1.09261,1.09292,28203.86
2024-01-10 04:00:00+00:00,1.09292,1.09453,1.09235,1.0926,33302.95
2024-01-10 08:00:00+00:00,1.09261,1.09553,1.09228,1.09459,54830.95
2024-01-10 12:00:00+00:00,1.09459,1.0969,1.0932,1.09673,69274.72
2024-01-10 16:00:00+00:00,1.09674,1.09707,1.09523,1.09703,41441.36
2024-01-10 20:00:00+00:00,1.09703,1.09747,1.09615,1.0974,30552.81
2024-01-11 00:00:00+00:00,1.09742,1.09847,1.0973,1.09803,35849.58
2024-01-11 04:00:00+00:00,1.09802,1.09885,1.09744,1.09788,27608.63
2024-01-11 08:00:00+00:00,1.0979,1.09824,1.09585,1.09785,58005.87
2024-01-11 12:00:00+00:00,1.09786,1.1,1.09302,1.09464,175412.1
2024-01-11 16:00:00+00:00,1.09466,1.09829,1.09366,1.09819,93228.0
2024-01-11 20:00:00+00:00,1.0982,1.09825,1.09561,1.09824,29541.77
2024-01-12 00:00:00+00:00,1.09823,1.09853,1.09725,1.09776,30378.21
2024-01-12 04:00:00+00:00,1.09774,1.09803,1.09608,1.09666,29970.57
2024-01-12 08:00:00+00:00,1.09666,1.09827,1.09465,1.09496,58120.41
2024-01-12 12:00:00+00:00,1.09495,1.09868,1.09359,1.09661,127518.76
2024-01-12 16:00:00+00:00,1.09662,1.09738,1.0947,1.09559,51814.29
2024-01-12 20:00:00+00:00,1.09559,1.09563,1.09481,1.09483,10770.37
2024-01-14 20:00:00+00:00,1.0948,1.09502,1.0944,1.09451,5573.34
2024-01-15 00:00:00+00:00,1.09451,1.09675,1.09407,1.09643,30058.07
2024-01-15 04:00:00+00:00,1.09642,1.09666,1.09515,1.09533,29663.64
2024-01-15 08:00:00+00:00,1.09535,1.09649,1.09335,1.09453,54527.86
2024-01-15 12:00:00+00:00,1.09453,1.09589,1.09381,1.09496,52184.07
2024-01-15 16:00:00+00:00,1.09497,1.09536,1.0946,1.09504,13938.8
2024-01-15 20:00:00+00:00,1.09506,1.09517,1.09447,1.09449,19706.53
2024-01-16 00:00:00+00:00,1.09447,1.09461,1.09154,1.09189,37253.77
2024-01-16 04:00:00+00:00,1.09187,1.09265,1.09086,1.09184,31656.23
2024-01-16 08:00:00+00:00,1.09184,1.09233,1.08739,1.08922,89241.91
2024-01-16 12:00:00+00:00,1.08923,1.08979,1.08656,1.08857,120066.85
2024-01-16 16:00:00+00:00,1.08856,1.08946,1.0862,1.08736,98382.66
2024-01-16 20:00:00+00:00,1.08737,1.08786,1.087,1.08784,20445.6
2024-01-17 00:00:00+00:00,1.08786,1.08844,1.08651,1.08663,28589.35
2024-01-17 04:00:00+00:00,1.08662,1.08737,1.08554,1.08701,45309.02
