timestamp,open,high,low,close,volume
2024-01-01 20:00:00+00:00,2062.598,2066.595,2062.405,2063.615,0.46798
2024-01-02 00:00:00+00:00,2063.625,2070.285,2062.275,2069.528,3.30854
2024-01-02 04:00:00+00:00,2069.528,2076.665,2068.775,2073.048,3.66692
2024-01-02 08:00:00+00:00,2073.015,2078.825,2068.205,2069.145,5.30864
2024-01-02 12:00:00+00:00,2069.105,2070.965,2055.818,2059.265,10.986819
2024-01-02 16:00:00+00:00,2059.305,2067.515,2059.075,2060.825,3.81531
2024-01-02 20:00:00+00:00,2060.885,2061.545,2057.915,2059.455,1.17432
2024-01-03 00:00:00+00:00,2059.475,2065.525,2059.094,2065.025,3.00324
2024-01-03 04:00:00+00:00,2064.965,2065.835,2060.795,2062.928,2.91388
2024-01-03 08:00:00+00:00,2062.835,2064.228,2046.594,2047.485,5.09967
2024-01-03 12:00:00+00:00,2047.505,2048.698,2031.665,2032.495,9.1717
2024-01-03 16:00:00+00:00,2032.545,2042.205,2030.515,2036.575,5.69024
2024-01-03 20:00:00+00:00,2036.595,2043.835,2036.435,2042.895,3.32025
2024-01-04 00:00:00+00:00,2042.865,2046.808,2040.055,2044.518,4.02705
2024-01-04 04:00:00+00:00,2044.498,2049.445,2042.345,2047.615,2.79098
2024-01-04 08:00:00+00:00,2047.615,2050.855,2044.828,2045.065,3.91554
2024-01-04 12:00:00+00:00,2044.995,2047.625,2036.155,2045.025,5.93324
2024-01-04 16:00:00+00:00,2045.075,2046.675,2040.765,2044.285,3.0161
2024-01-04 20:00:00+00:00,2044.265,2044.785,2042.725,2044.098,1.23196
2024-01-05 00:00:00+00:00,2044.128,2048.155,2043.225,2045.235,2.21253
2024-01-05 04:00:00+00:00,2045.265,2046.925,2040.805,2042.995,3.80777
2024-01-05 08:00:00+00:00,2043.005,2044.238,2037.035,2039.155,3.26021
2024-01-05 12:00:00+00:00,2039.155,2063.838,2024.255,2054.745,14.74815
2024-01-05 16:00:00+00:00,2054.815,2056.155,2040.335,2045.635,6.79468
2024-01-05 20:00:00+00:00,2045.655,2046.068,2042.785,2045.355,1.30654
2024-01-07 20:00:00+00:00,2044.385,2045.565,2042.805,2044.195,0.5798
2024-01-08 00:00:00+00:00,2044.235,2046.525,2034.975,2036.015,3.01245
2024-01-08 04:00:00+00:00,2036.075,2037.555,2026.925,2031.355,3.53861
2024-01-08 08:00:00+00:00,2031.305,2031.685,2016.604,2019.958,5.37109
2024-01-08 12:00:00+00:00,2019.958,2034.675,2018.345,2034.115,8.81349
2024-01-08 16:00:00+00:00,2034.105,2036.778,2026.295,2029.285,4.04316
2024-01-08 20:00:00+00:00,2029.265,2030.835,2025.978,2030.665,1.3933
2024-01-09 00:00:00+00:00,2030.665,2035.775,2030.615,2033.565,3.60653
2024-01-09 04:00:00+00:00,2033.505,2037.145,2030.245,2035.885,3.50421
2024-01-09 08:00:00+00:00,2035.955,2038.428,2031.145,2034.935,6.38214
2024-01-09 12:00:00+00:00,2034.925,2041.898,2028.665,2028.735,9.02988
2024-01-09 16:00:00+00:00,2028.755,2031.945,2026.015,2028.735,5.85546
2024-01-09 20:00:00+00:00,2028.845,2031.125,2028.205,2030.665,1.65064
2024-01-10 00:00:00+00:00,2030.674,2032.785,2027.145,2028.845,3.17599
2024-01-10 04:00:00+00:00,2028.835,2031.595,2023.795,2030.905,2.97388
2024-01-10 08:00:00+00:00,2030.925,2040.135,2030.165,2033.925,4.96724
