timestamp,open,high,low,close
2024-01-01T23:00:00,2062.598,2066.595,2062.405,2063.615
2024-01-02T00:00:00,2063.625,2065.778,2062.275,2065.358
2024-01-02T01:00:00,2065.358,2069.825,2064.785,2066.515
2024-01-02T02:00:00,2066.515,2068.345,2063.915,2067.698
2024-01-02T03:00:00,2067.695,2070.285,2066.445,2069.528
2024-01-02T04:00:00,2069.528,2070.578,2068.775,2069.505
2024-01-02T05:00:00,2069.525,2074.745,2069.415,2074.415
2024-01-02T06:00:00,2074.465,2076.665,2072.865,2074.145
2024-01-02T07:00:00,2074.065,2076.335,2073.028,2073.048
2024-01-02T08:00:00,2073.015,2074.465,2071.745,2073.235
2024-01-02T09:00:00,2073.235,2078.825,2073.185,2076.945
2024-01-02T10:00:00,2076.965,2077.675,2073.415,2075.925
2024-01-02T11:00:00,2075.875,2076.115,2068.205,2069.145
2024-01-02T12:00:00,2069.105,2069.405,2064.995,2067.845
2024-01-02T13:00:00,2067.815,2070.965,2064.795,2066.158
2024-01-02T14:00:00,2066.225,2070.295,2062.095,2070.295
2024-01-02T15:00:00,2070.295,2070.595,2055.818,2059.265
2024-01-02T16:00:00,2059.305,2067.515,2059.075,2066.005
2024-01-02T17:00:00,2066.085,2066.865,2061.755,2062.615
2024-01-02T18:00:00,2062.645,2064.875,2060.495,2061.115
2024-01-02T19:00:00,2061.055,2062.065,2060.375,2060.825
2024-01-02T20:00:00,2060.885,2061.545,2057.915,2058.115
2024-01-02T21:00:00,2058.225,2059.118,2057.975,2058.605
2024-01-02T23:00:00,2058.018,2059.955,2058.018,2059.455
2024-01-03T00:00:00,2059.475,2062.045,2059.094,2060.105
2024-01-03T01:00:00,2060.115,2062.455,2059.475,2062.405
2024-01-03T02:00:00,2062.395,2065.085,2061.475,2064.558
2024-01-03T03:00:00,2064.558,2065.525,2063.265,2065.025
2024-01-03T04:00:00,2064.965,2065.485,2064.325,2064.775
2024-01-03T05:00:00,2064.755,2065.835,2063.405,2063.995
2024-01-03T06:00:00,2063.965,2065.325,2063.365,2064.178
2024-01-03T07:00:00,2064.164,2064.175,2060.795,2062.928
