timestamp,open,high,low,close,volume
2023-09-15 00:00:00+00:00,3.8147,3.8249,3.814,3.8204,0.28
2023-09-15 01:00:00+00:00,3.8201,3.8228,3.8099,3.8213,1.34
2023-09-15 02:00:00+00:00,3.8212,3.8443,3.8212,3.844,1.1
2023-09-15 03:00:00+00:00,3.8435,3.8467,3.8376,3.8445,0.42
2023-09-15 04:00:00+00:00,3.8448,3.8495,3.8422,3.8467,0.13
2023-09-15 05:00:00+00:00,3.8473,3.8474,3.8313,3.8359,1.79
2023-09-15 06:00:00+00:00,3.8362,3.8428,3.8321,3.8373,1.27
2023-09-15 07:00:00+00:00,3.8375,3.8408,3.8218,3.8289,0.57
2023-09-15 08:00:00+00:00,3.8293,3.8298,3.8007,3.8027,0.62
2023-09-15 09:00:00+00:00,3.8035,3.8108,3.7998,3.81,0.87
2023-09-15 10:00:00+00:00,3.8096,3.8155,3.8077,3.8125,0.47
2023-09-15 11:00:00+00:00,3.8117,3.8178,3.8072,3.8088,0.58
2023-09-15 12:00:00+00:00,3.8094,3.8153,3.806,3.8083,2.48
2023-09-15 13:00:00+00:00,3.8088,3.8143,3.7972,3.7986,4.46
2023-09-15 14:00:00+00:00,3.7983,3.8078,3.7872,3.7878,3.97
2023-09-15 15:00:00+00:00,3.7878,3.8018,3.7858,3.7913,2.78
2023-09-15 16:00:00+00:00,3.7923,3.8013,3.7914,3.7998,1.59
2023-09-15 17:00:00+00:00,3.799,3.7998,3.7894,3.7968,0.58
2023-09-15 18:00:00+00:00,3.7964,3.797,3.7912,3.7924,0.71
2023-09-15 19:00:00+00:00,3.7929,3.796,3.7912,3.7958,0.1
2023-09-15 20:00:00+00:00,3.7949,3.7968,3.7922,3.7953,0.02
2023-09-17 22:00:00+00:00,3.7948,3.797,3.7929,3.7964,0.02
2023-09-17 23:00:00+00:00,3.7963,3.7998,3.7958,3.799,0.04
2023-09-18 00:00:00+00:00,3.8002,3.8013,3.7949,3.7975,0.06
2023-09-18 01:00:00+00:00,3.7972,3.8015,3.7838,3.7923,0.83
2023-09-18 02:00:00+00:00,3.7916,3.8028,3.7912,3.7949,0.54
2023-09-18 03:00:00+00:00,3.7949,3.7965,3.7914,3.7924,0.24
2023-09-18 04:00:00+00:00,3.7922,3.7983,3.7915,3.7965,0.13
2023-09-18 05:00:00+00:00,3.7965,3.8045,3.7927,3.8015,0.48
2023-09-18 06:00:00+00:00,3.801,3.809,3.801,3.805,0.7
2023-09-18 07:00:00+00:00,3.802,3.8203,3.8015,3.8107,0.61
2023-09-18 08:00:00+00:00,3.8109,3.8124,3.7934,3.8003,0.76
2023-09-18 09:00:00+00:00,3.7996,3.8069,3.7969,3.7989,0.36
2023-09-18 10:00:00+00:00,3.7993,3.8008,3.794,3.7972,0.42
2023-09-18 11:00:00+00:00,3.7976,3.7984,3.7822,3.7858,0.56
2023-09-18 12:00:00+00:00,3.7858,3.7949,3.7792,3.7912,1.57
2023-09-18 13:00:00+00:00,3.7916,3.7948,3.7698,3.7718,4.53
2023-09-18 14:00:00+00:00,3.7713,3.7773,3.7634,3.7733,3.82
2023-09-18 15:00:00+00:00,3.7723,3.7757,3.7697,3.7745,2.44
2023-09-18 16:00:00+00:00,3.7747,3.7789,3.7739,3.7773,1.93
2023-09-18 17:00:00+00:00,3.7775,3.7778,3.7717,3.7721,0.97
2023-09-18 18:00:00+00:00,3.772,3.775,3.7713,3.7723,0.25
2023-09-18 19:00:00+00:00,3.7725,3.7768,3.7717,3.7768,0.18
2023-09-18 20:00:00+00:00,3.7763,3.7788,3.7747,3.7763,0.08
2023-09-18 22:00:00+00:00,3.7765,3.7788,3.7762,3.7767,0.07
2023-09-18 23:00:00+00:00,3.7775,3.7775,3.7747,3.7747,0.07
2023-09-19 00:00:00+00:00,3.7755,3.7779,3.7702,3.7728,0.27
2023-09-19 01:00:00+00:00,3.772,3.778,3.7624,3.7632,1.02
2023-09-19 02:00:00+00:00,3.7634,3.7693,3.7531,3.7565,0.79
2023-09-19 03:00:00+00:00,3.7563,3.763,3.7552,3.7605,0.25
2023-09-19 04:00:00+00:00,3.7607,3.7638,3.756,3.7563,0.04
2023-09-19 05:00:00+00:00,3.7559,3.7578,3.7522,3.7547,0.28
2023-09-19 06:00:00+00:00,3.7542,3.763,3.7512,3.7528,0.46
2023-09-19 07:00:00+00:00,3.7527,3.7587,3.7318,3.7334,1.67
2023-09-19 08:00:00+00:00,3.7332,3.7377,3.7272,3.7343,1.64
2023-09-19 09:00:00+00:00,3.7346,3.7365,3.7301,3.7331,0.43
2023-09-19 10:00:00+00:00,3.7333,3.7385,3.7252,3.7375,1.11
2023-09-19 11:00:00+00:00,3.737,3.742,3.7335,3.737,1.23
2023-09-19 12:00:00+00:00,3.7371,3.7495,3.7371,3.7453,2.73
2023-09-19 13:00:00+00:00,3.7447,3.76,3.7447,3.7491,4.59
2023-09-19 14:00:00+00:00,3.7492,3.7505,3.7402,3.742,4.11
2023-09-19 15:00:00+00:00,3.7428,3.7449,3.7357,3.7395,2.49
2023-09-19 16:00:00+00:00,3.7398,3.7469,3.7373,3.7463,1.08
2023-09-19 17:00:00+00:00,3.7458,3.7513,3.7437,3.7485,0.64
2023-09-19 18:00:00+00:00,3.7483,3.7533,3.7474,3.7508,0.74
2023-09-19 19:00:00+00:00,3.7503,3.7533,3.7478,3.7523,0.29
2023-09-19 20:00:00+00:00,3.7515,3.7523,3.7493,3.7498,0.0
2023-09-19 22:00:00+00:00,3.7504,3.7528,3.7499,3.7522,0.08
